, format: day,hour,tem
0,1,0.0,22.1
1,1,100.0,22.0
2,1,200.0,21.9
3,1,300.0,22.299999
4,1,400.0,22.5
5,1,500.0,22.799999
6,1,600.0,22.299999
7,1,700.0,21.5
8,1,800.0,21.299999
9,1,900.0,21.299999
10,1,1000.0,21.5
11,1,1100.0,21.799999
12,1,1200.0,21.5
13,1,1300.0,21.200001
14,1,1400.0,20.799999
15,1,1500.0,20.799999
16,1,1600.0,20.700001
17,1,1700.0,20.6
18,1,1800.0,20.4
19,1,1900.0,20.5
20,1,2000.0,20.4
21,1,2100.0,20.0
22,1,2200.0,20.1
23,1,2300.0,20.700001
24,2,0.0,20.9
25,2,100.0,21.6
26,2,200.0,22.6
27,2,300.0,23.5
28,2,400.0,24.6
29,2,500.0,24.700001
30,2,600.0,25.6
31,2,700.0,25.6
32,2,800.0,25.1
33,2,900.0,23.700001
34,2,1000.0,23.299999
35,2,1100.0,23.4
36,2,1200.0,23.299999
37,2,1300.0,23.4
38,2,1400.0,23.200001
39,2,1500.0,23.200001
40,2,1600.0,23.4
41,2,1700.0,23.6
42,2,1800.0,23.5
43,2,1900.0,23.200001
44,2,2000.0,23.200001
45,2,2100.0,23.700001
46,2,2200.0,24.799999
47,2,2300.0,26.299999
48,3,0.0,27.9
49,3,100.0,28.799999
50,3,200.0,29.5
51,3,300.0,30.200001
52,3,400.0,29.700001
53,3,500.0,28.9
54,3,600.0,28.0
55,3,700.0,29.6
56,3,800.0,30.299999
57,3,900.0,28.4
58,3,1000.0,26.700001
59,3,1100.0,25.9
60,3,1200.0,25.6
61,3,1300.0,25.0
62,3,1400.0,24.700001
63,3,1500.0,24.700001
64,3,1600.0,24.6
65,3,1700.0,24.6
66,3,1800.0,24.299999
67,3,1900.0,24.200001
68,3,2000.0,24.0
69,3,2100.0,24.5
70,3,2200.0,25.6
71,3,2300.0,26.5
72,4,0.0,27.5
73,4,100.0,27.799999
74,4,200.0,28.0
75,4,300.0,28.4
76,4,400.0,28.4
77,4,500.0,28.0
78,4,600.0,27.700001
79,4,700.0,26.299999
