,score,review_len,text,name,product,manufacturer,category,date
241,2,1127,"아이가 모래놀이를 좋아해서 저번 주말에 집근처 바다를 갔었는데 반팔을 입었더니 팔이 타서 신랑이랑 같이 하려고 구입했어요^^

아이는 쿨토시를 하고 놀았더니 팔이 하나도 안탔네용ㅎㅎ
집에 비메이커 제품이 있긴 했지만 다들 메이커 제품을 하고 다녀서 살짝 부끄럽더라고요;;
이것저것 후기들을 꼼꼼히 살펴보다 K2가 제일 좋을꺼 같아서 샀어요ㅎ


실제사용후기♡

신랑이랑 저랑 하나씩 하고 또 바다에 갔어요^^
개봉후 첨에 만져보고 기존에 있던것보다 많이 두꺼워서 덥겠다 싶었는데 전혀 덥지 않았어요ㅎㅎ
차안에서 에어컨 틀고 있는데 쿨토시 하고 있는 팔은 정말 시원하더라고요ㅎㅎ
바람이 슝슝 들어오는 느낌이랄까?
신랑도 왜 이렇게 두껍지했는데 막상 껴보고는 짱짱하고 좋다네요ㅎ

예전에 신랑 일할때 막쓰라고 인터넷으로 개당 2500원짜리 비메이커 쿨토시를 사준적이 있었는데 그거랑 확실히 달라용ㅋㅋ
K2가 가격이 2배는 차이가 나지만 5천원 정도면 비싼것도 아니고 가격 대비 진짜 좋아요^^
이게 한번 쓰고 버리는것도 아니고 계속 쓸수도 있고^^
재질부터 착용감,사용후 세탁했을때 늘어남 이런게 확실히 다르네요♡
싼거는 처음 착용할때는 얇고 좋은거 같았는데 신랑이 쓰고나서 세탁하고 나면 팔뚝 부분이 조금 늘어난 느낌이 있었는데 K2꺼는 세탁을 하고 건조기까지 돌렸는데 착용했던건데도 늘어나지도 않고 짱짱해요^^
건조기 돌려도 줄어들거나 하지도 않네요^^
몇번이나 사용후 계속 세탁하고 건조기 돌렸는데 핀것도 없고 늘어나지도 않고 짱짱해요♡


길이는 신랑은 팔위까지 딱 맞는데 전 팔이 짧으니 길이는 좀 길어요ㅎㅎ
그래도 해보니 이뻐요^^
전 흘러내리지않고 집에 올때까지 괜찮았는데 신랑은 팔뚝이 두꺼워서 그런지 조금 흘러내려서 몇번 다시 올렸어요ㅎㅎ
아이껀 흰색이라서 몇번 사용하고 때타니 확실히 누렇게  되던데 이건 검정색이라서 그럴일은 없겠죠?^^
확실히 땡볕에 몇시간 있어도 팔이 하나도 안탔어요^^
넘 좋은거 같아요ㅎㅎ

아이낳고 손목이랑 손등에 갑자기 백반증이 생겨서 계속 수술받고 치료중인데 아이도 있는데 한여름에 놀러 안다닐수도 없고 그렇다고 긴팔 입긴 넘 더울껀데 쿨토시 하나 장만하니 든든하네요^^
코로나만 잠잠 해지길 바랍니다ㅜㅜ


제 리뷰가 도움이 되셨다면 '도움이돼요'를 꾸욱 눌러주세요♡",김*영,쿨토시,K2,패션의류잡화,2021.04.28
919,1,1166,"요즘 남자 사람들 팬티는 밴드 로고가 중요하다고 생각했다.

그래야 내 남자아이들이 시대에 뒤떨어지지 않고,
나도 그런 엄마가.. 되는거라고 생각했다.
그래서 늘 캘빈만 보아왔다.
실제로 캘빈 시리즈별로 산다.(티셔츠,청바지,아우터..)
잘 모르니 그랬다.

실제로 남자속옷 매장 가면 부담스럽다.
나의 엄마하고 쌍방울,백양-트라이,비와이씨..
그런 브랜드를,매장을 보고,다니곤 해선 그런가보다.

드로즈..형태가 편한가보다.
좀 더 크면 본인들 안목이 생길거다..

속옷,양말..
그들을 위해 고르고,널고,개고..
일상으로의 초대처럼 행복하고
그들을 바깥 전쟁터로 내보내기 위한
소중한 일인거 같다..

난..적어도 내 엄마 세대처럼
팍팍 삶아야 하는 시절이 아니니 이 또한 좋.다..


**럭희님 글,사진을 보았던 기억이 있어서..
   다시 한번 살펴보고 믿고 읽는 후기라 구입한다.
   실은 그때 답은 이 팬티가 좋구나..였는데..
   구입할 기회만 보다가 (팬티의 재구입 시기)
   그녀의 글,사진이 좋아서 다시 찾아보았다.

   아들아~~새벽배송 후 빨아서 빤스 널었으니.
   빤스 개는거는 니들이 해라.
   무려 열장이다.
   이게 뭐라고 날은 흐린데 기분이 좋구나..
    
   2021.04.16..
   건조대에 매일 널어놓는
   너희들 양말,빤스가 오늘따라 고맙다.
  
   기억하고,잊지않을께..
   매일 나오는 너희들 빨랫감을..

   2021.06.28..
   여름이라 속옷이 진가를 발휘한다.
   땀이 많고,더운걸 싫어하는 열여섯살 아이라
   피부에 땀이 속옷으로 빠르게 흡수해주는거 같다.
   땀이 많이 났다해도 속옷은 그리 흠뻑 젖거나
   땀냄새가 심하게 나지는 않는다.
    
   어른들에게는  곧..금방..훌쩍..
   너희들의 시간은 가보지 않은 길이라..두렵겠다..
   
   스물 즈음이 될 너희들..
   오늘도 교복 빨았어?  빤스는?
   엄마.엄마..삼선이는 투덜거리며..
   
   야자 끝나는 아홉시든
   학원 끝나는 열시든
   알바 끝나는 열두시든..

   오늘도 빨래통 가득가득 땀에 젖은 빤스를 채워주어라..
    
   서른 즈음에를
   스물 아홉에 들으면 어떨까..궁금하지..
   그럼..가보자..
    
   열아홉이야.
   너희들..
   이제 스물 즈음 이란다..",등가교환,드로즈팬티,베이스알파에센셜,패션의류잡화,2021.04.16
922,1,1405,"제가 입으려고 구매한건 아니에요 ㅋㅋ
남동생이 레슨을 몇개 받는데 부모님 등골 안 빼려고
알바를 해서 레슨중 하난 이번달 동생이 냈어요
열씨미 감튀 튀긴  알바비루여  

학교 근처에서 자취를 해서  주말 일주일  모아둔 빨래를
가지고 와여 근처 빨래방도 있겠지만
부모님집은 저보다 멀고 럭희가 보고싶어 오는거 같아요

남동생 드로즈팬티는 제가 사다준게 다에여 
쿠팡서 ck,레노마 등등 몇번 사준적이 있거든요

면제품은 위생적이긴 하나  세탁시 강도가 낮고
세탁할수록 변색 가능성,빨리 마르지않는 단점이 있져

그에 반해 폴리는 땀흡수는 면보다 다소 낮으나
엉덩이와 음 생략 ㅋㅋ 잘 감싸주기에 드로즈는
순수면보다 폴리 들어간걸 선호를 하져  장단점이 다 있져

내가 사주지 않음 계속 입을거 같고
감튀 튀겨 번 알바비로 얜 지 팬티를 사입을거 같지않아
쿠팡 검색해요 이번달 레슨비 하난 ㅋㅋ 냈으니 귀엽자나여
사주고 싶어서요

쿠팡 드로즈 팬티를 보니 50 데니아  오^^
실의 두께를 나타내는건 일반적으로 두가지에요
수,데니아 이렇게요 20수 30수 면티  많이 들어보셨을거에요
수는 숫자가 높을수록 얇고
데니아는 낮을수록 실이 앏아지고 , 단단하며 가늘어지죠

100데니아는 두껍고 50데니아는 얇다 이리 보심 되여
여름에 입기 좋은 두께져

150~200 정도가 레깅스 강도이고 50 데니아는
신축성이 좋아 속옷으로 많이 사용이 되여 

총 열장이 와여
색상은 블랙,그레이,멜란지그레이,코발트블루
파스텔 블루 총 다섯 칼라에여
타짜에 고니가 어울릴것 같다던 코발트블루ㅋㅋ
사진 이미지 색상보다 실제 받았을때 색상이 더 예뻐요

드로즈팬티 밴드는 보통 인밴드 아웃밴드로 나뉘는데
곰곰은 아웃밴드라 신축성 좋아여
보통 아웃밴드는 ck  제품이 독보적인데
밴드에 로고가 새겨져 있자나요
전 일부러 그리 보이게 다님 싫터라구여 
이건 개취니 돌 날리지 마세요 ㅋㅋ

곰곰은 아웃밴드이긴 하나 로고없이 깔끔해서 좋았어요
라벨처리도 피부에 쓸리지 않게 밴드 타입으로
마감되어 있어요  이거 만드신분 오 감동여 ^^

남자 드로즈 후길 쓰고 있자니 ㅋㅋ
어우 ~마저 쓸께여 ㅋㅋ

드로즈 팬티 봉제선
깜놀했네요 정말 깔끔하게 되어있어 편하게 입으실수 
있을거 같아요

사실 후기를 안적으려고 했어요
그전에도 남동생 드로즈 팬티 구매했어도 안남겼는데
가격대비 재질,신축성,디자인  거기다 장수가 
무려 열장 이건 가성비를 넘어 갓성비라
글을 남기게 되었어요

남동생은 하루 한장 입어도 세장  남네요 ㅋㅋ

주말이라 제품 받고 맘에 들어 사진 찍고
세탁기 돌렸는데 보풀,수축 없어여

사이즈는 후기의 도움으로 95 하려다
100 했는데 말듣길 잘한거 같아요
한치수 큰거 주문하세여

남자 드로즈 팬티지만 저 추천 마니 남겨도 되겠져? ㅋㅋ

*미아내  너  빤스 사진 찍어 올려서ㅜㅠ
  다 말랐으니 가져가  주겠니",럭희,드로즈팬티,베이스알파에센셜,패션의류잡화,2020.06.13
1991,-20,1679,"내가 웬만해선 별4개도 안주고 거의 5개 주는편인데 처음으로 별 1개 줌. 

이유는 새옷에서 뿜어져 나오는 먼지 때문임.

검정색 주문.

새옷이라서 입기 전에 세탁기 돌리고, 건조기 돌림. 

(꼭 끝까지 읽어보시길)

건조기 먼지통에 검정색 먼지가 엄청 많이 나옴. 

새옷 살때마다 매번 꼭 빨아서 입는데 새옷이라도 이정도로 먼지가 나오는걸 본적은 없었던거 같음. 

한번 더 돌려서 먼지 싹 빼주면 되겠지 하고 건조기 한번 더 돌림.

두번째도 똑같은 양의 검정색 먼지가 나옴. 어떻게 먼지가 안 줄고 똑같은 양이 나오지?? 이상하네.

아직도 이렇게 먼지가 나오는데.... 그대로 입기에는 찜찜해서 세번째 또 돌림. 

하... 이 티셔츠는 먼지 괴물인가? 이게 뭐지?

네번째도 또, 다섯번째도 또.... 다섯번 돌렸더니 먼지양이 처음보단 많이 줄었지만 여전히 그것도 많은 양임.

평소 빨래 한통 할때마다 건조기 두번 이상 돌려본적도 없지만 만일 세번까지 돌렸으면 나오는 먼지는 최소량일 것임. (집에서 건조기 쓰는 분들은 무슨 말인지 알 것임)

건조기를 매회 1시간 이상씩 다섯번을 돌렸는데도 먼지가 이렇게 나온다는게 말이 됨? 

그래서 마지막으로 한번 더 돌림. 총 여섯번임. 전기요금이고 뭐고 이 실험의 끝을 봐야겠음.

결국 여섯번 돌리고 내가 포기했지만. 여섯번째도 먼지양이 다섯번째와 차이가 없게 많았음. 

이건 뭐 10번 돌려주면 먼지가 다 빠질까? 솔직히 그래도 여전히 나올거 같은 느낌. 

평소 빨래 한통 돌리면 건조기 한번만 돌리는데 가끔 두번 돌려도 먼지양이 여섯번 돌린 것보다 훨씬 적음. 


이건 세탁해서 일반 건조대에 젖은 빨래 널어서 말리는 분들은 바로는 모를 것임. (하지만 집안에 검정 먼지가 확 늘것임)   

건조기 있으면 입기 전에 세탁해서 꼭 테스트 해보시길.

혹시라도 옷 제조사가 이 리뷰를 본다면 당신들도 직접 테스트 해보시길.

검정색 티셔츠 3장 이상 빨아서 건조기에 넣고 나처럼 6회까지 또는 그 이상으로 돌려보고 매회 나오는 블랙린트를 직접 확인해보기를. 그게 정상적이라고 할 수 있는지. (내가 너무 예민했나? 라는 생각을 해보고도 있지만 내 눈으로 확인하고 매회마다 내 손으로 치운 먼지가 있는데 내가 예민한건 정말 아닌거 같음)


더 문제는, 여섯번 돌리고 뺐더니 사이즈도 확 쫄은 느낌. 

여름에 집에서 몸에 딱 붙지 않게 완전 오버사이즈로 넉넉하게 입으려고 내 인생 처음으로 젤 큰 사이즈인 110 주문했는데 입어보니 몸에 딱 맞음. 원래대로 주문했으면 작아서 입지도 못할뻔.    

한국에선 건조기 대중화가 몇년 안됐지만 나 외국에서 오래 살다 와서 건조기 사용 10년도 훌쩍 넘었음. 거의 매주 건조기 돌리면서 이런 경험은 처음임.

-----------
추가
-----------

내 리뷰 쓰고 다른 별점1개 리뷰들을 봤더니.... 이미 여러 구매자분들이 무슨 먼지가 이렇게 많냐고 후기 남기셨네요.

제조사는 직접 테스트해보고 원단을 바꾸든지 해야지 이대로 계속 파는건 좀 아닌거 같습니다.

옷에서 먼지가 계속 뿜어져 나오면 폐 건강을 해치게 됩니다. 

건조기 여섯번 돌려서 그나마 이젠 입어도 되겠지... 입은채로 이 후기 썼는데 다른 분들의 후기까지 보니까 찜찜해서 도저히 못 입겠음. 바로 벗어 던지고 다른 티셔츠로 갈아 입음.

옷값도 아깝고 건조기 여섯번 돌린 전기요금도 아까움.  


.",k*g,반팔티,베이직하우스,패션의류잡화,2020.04.14
2375,1,1081,"중학생아이 매일 등교에 급하게 흰티를 찾던중 쿠팡에서 새벽배송으로 받을수 있어 너무 편리하고 좋았습니다

베이직하우스 브랜드 // 참 오랜만에 구매하는데 
장수 브랜드라 반가웠습니다 

이미 제품의 질을 알기에 믿고 구매했어요

☆30수면이라 도톰하지는 않고 그렇다고 너무 얇은것도 아니에요 .
이너로 입기에 아주 적당하고  봄 여름에  간단하고도 깔끔한 기본티로 입기 좋습니다
< 도톰한 반팔티는  헤비웨스트로 따로 있습니다>

☆남녀 공용이라 성별 구분없이 입을수 있어요

☆품질도 좋고  유행을 타지 않아서  색깔별로 구매해도 좋을것같아요 
교복,체육복 안에 흰색만 입어야 되는줄 알고 흰색으로 구매했더니  검은색도 된다는군요 

☆방글라데시에서 만들어졌는데 바느질이 잘 되어있습니다

☆목선과 어깨선에 이중으로 박음질이 되어서 튼튼하구 늘어짐을 방지할수 있게 되어있어요
비교적 저렴한  기본 티에 이런 세심한 공정의 박음질에 감탄했습니다 

☆뒷 목선에 시접 오버록 처리가 안보이도록 바이어스 마감까지 깔끔합니다

☆약간의 스판성이 있어 활동하기에 좋습니다 
☆ 100% 순면이라 피부에 자극이 없습니다
☆목 시보리가 짱짱해서 입고 벗기 편합니다 
☆세탁후 줄어듬과 변형을 방지하는 텐타가공이 되어있어 세탁전과 형태가  다름이 없습니다 

166cm 45kg 여중생 90사이즈  주문했는데 
핏감이 너무 박시하지도 않고 타이트하지도 않고 적당히 아주 예쁘게 잘 맞습니다 

=========================================

4/13 추가 리뷰 
3주간  입고 세탁을 해보고  더욱 만족스러운데요 
수축이 전혀 없었어요

보통의 면티들이 섬유 유연제를 사용해도 햇볕에 말렸을때
뻣뻣해지는 경향이 있는데 
이 상품은 면이 부드런상태 그대로입니다
 

베이직 하우스가 어느덧 20년이나 되었다고합니다
장수브랜드는 이유가 있는것 같아요 
직접 보거나 만져보지 않고  구매하는 온라인이라 
품질에대한 걱정이 매번 되는건 어쩔수 없는것같아요
이번 베이직 하우스의  남녀공용 순면라운드 오리지널 반팔티는 아주 만족스러운 구매였고 앞으로도 믿고 재구매 하겠습니다
리뷰가 도움이 되셨으면 합니다 
추천합니다 ^*^",그린어게인,반팔티,베이직하우스,패션의류잡화,2021.03.26
2378,-4,1016,"헬스장에 갔는데 목부분이 다 늘어져서 쭈글쭈글한 티를 입고 운동하는 엄청 없어보이는 사람이 있었는데, 고개를 돌려서 거울을 보니까 하와와 본인 쨩이었던 거시에요. 와 진짜 이렇게 사람이 없어 보일 수도 있군아 싶어서 그날 바로 티셔츠를 주문했습니다. 운동할때만 입는 티셔츠라 신경안쓰려고 했는데 하루라도 더 빨리 주문할 것을 후회했습니다.

베이직하우스 제품을 구매한 이유는 전에 동생이 베이직하우스 그레이색상 기본 티셔를 선물해줬는데 그 티셔츠가 운동할 때 입는 티셔츠보다 더 오래되고 자주입었는데도 그 제품은 목 늘어짐없이 지금도 탄탄해서 이번에 베이직 하우스 티셔츠를 사면 이정도로 튼튼하게 입을 수 있을꺼라 생각해서 선택했습니다.

제품은 흰색2, 검정1 제품을 구매했고 사이즈는 집에 줄자가 있어서 제 사이즈에 맞는 제품을 구매했는데 제품사항에 정사이즈로 잘 표기가 되어있는지 진짜 제 몸에 닥 맞는 크기의 제품이 왔습니다.

제품 자체도 튼튼하고 마감이 좋아서 인지 운동한다고 거의 매일 돌려 입었는데도 목 늘어짐이 없고 매우 만족스럽습니다. 아마 또 기본 티가 필요하다면 재구매도 생각하고 있습니다. 진짜 기본에 충실한 무지티에, 가격도 저렴하고 목 늘어짐도 거의 없고 너무 만족스럽습니다. 베이직하우스 기본티가 나름 유명한데 그 유명한 값을 하는 것 같습니다.

다만 한가지 실망스러운 점도 있었는데 흰색 티를 주문했는데 흰색티 목부분에 갈색 점이 몇개가 보였습니다. 사진도 찍어뒀는데 솔직히 이 점을 보자마자 환불할까 하는 생각도 했습니다. 그래도 이미 뜯었고 환불 또 하기 귀찮기도하고 다행히 안쪽이라 외부로 보이는 것은 아니라서 그냥 입기로 했습니다. 개봉 받은 날 운동가야하는데 전날에 세탁기 돌렸다가 안마른거 아니었으면 바로 환불이나 반품했을것같아요. 이거 말고는 다 만족스럽고 지금도 베이직하우스 검정기본티 입고 후기 작성중입니다.

다음번에 또 기본티를 구매해야한다면 베이직 하우스 제품을 또 구매할 것같긴한데 아까 갈색점이 좀 아쉬워서 다음번에 오는 제품은 좀 그런게 없었으면 좋겠어요~",이*범,반팔티,베이직하우스,패션의류잡화,2019.12.17
3216,5,1135,"기존 클린징폼이 떨어질랑 말랑 하던차에
이 제품을 접하게 되었는데요
결론부터 말씀드리면
탁월한 세정력에 건강한 피부유지에 도움되는
세안제 입니다~

이제부터
구매하시는데 도움되도록 솔직히 적어볼께요~

판매가격:11,740
용량:175g
사용기한:22.1.20
제조:Made in Thailand

상품은 주문익일 오후에
비닐포장 상태로 하루만에 받았습니다~
사용기한은 앞면상단 노란색 부분에
양각으로 찍혀 있습니다~
(저도 한참 찾았네요 ㅋㅋ)
다행히 사용기한 넉넉한 제품이 도착 했습니다~

상품 받자마자
'오~제법 양이 많네 ' 라는 생각이 들었고 
설명서를 보니
크게 3가지가 눈에 들어왔습니다~
ㅡ초미세먼지 98%세정
ㅡ글리세린 성분으로 속당김 무
ㅡ벌집성분으로 피부장벽 보호

이중에서 
☆실사용후 좋다고 느낀점은☆
ㅡ헹굼시 뽀드득하니 개운하지만 제법
   촉촉한것이 10분정도 화장수를 바르지 
   않아도  당기지 않음
ㅡ마른상태에서는 피부에 얇은 막이 
   코팅된 느낌을 받음
입니다~

폼을 짜보니 알갱이는 없으며
소량으로도 세수비누같은 거품이 
부드럽게 잘 일어납니다~
과하지 않은 거품이지만 손을 기울여도
흘러내리지 않네요~

헹굼시에는
물이 닿자 마자 거품이 바로 사라집니다~
(신기방기^^)
뽀드득한 느낌이 드네요~

첫 사용시에는 자극적이지 않았는데
초미세먼지 박멸하는 세정력 덕인지
이틀째 사용시
눈가,코끝 부분이 살짝 따끔거리는 느낌을
받았습니다 ㅜ
ph발란스가 안맞는건지ᆢ
이 부분은 조금 아쉬웠습니다~

향은 은은한 화장품 향기로
사용시 기분 좋아지게 됩니다~

이상품은
ㅡ색조화장으로 클린징이 필요하신 여성분
ㅡ지.복합성 피부
ㅡ혹은 남성분들 에게  딱!일것 같습니다~
그렇지만 
세안시 소량만 사용하시길 권해 드립니다~
남동생도 한번 사용해 보더니 계속 쓰네요~

그리고 
건성피부,
민감성 피부인 분들은
따끔거릴수 있으니 주의 하시기 바랍니다~

참고로 저는 40대 인데요ᆢ아하 하 ᆢ(^^;)
중.건성 피부로 색조화장은 하지 않아
외출후에만 사용하는 중입니다~

요즘 같이 대기질이 좋지 않는 시기에
이 상품은 정말  필수템인듯 합니다~
촉촉함보다 개운한 세안을 원하시는 분들
사용해 보시면 만족하실 겁니다~~♡

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",송*안,클렌저,뉴트로지나,뷰티,2020.06.13
3519,4,1145,"기존에 100g짜리를 꾸준히 사용중이였는데 체험단으로 220g짜리를 써보게 되었어요! 

:) 크기 비교
우선 크기가 많이 커서 놀랬어요 ㅎㅎ 기존에 사용하는
100g 짜리와 비교 사진을 보시면 차이가 많이 나요!

:) 클렌징
데일리 라인이고 딥클렌징이 가능하다고 하여 요즘 다들 폼클렌징 단독으로만 메이크업 지우지 않고 클렌징 티슈나 
오일 리무버 등이 잘 나와서 사용하시고 난 후 폼클렌징으로 
세안 하시겠지만 그래도 정말 딥클렌징이 되는지 확인해보았어요
파운데이션을 발라 준 후 1번은 워터프루프 아이라이너 이고 2번은 펜슬 아이라이너 3번은 벨벳 립스틱입니당
젤 위에 있는 워터프루프 아이라이너와 젤 밑 벨벳 립스틱이 사실 워낙 강해서 안지워질 줄 알았는데 씻은 후 결과에 놀랐네요 다 지워졌어요!
저도 메이크업 지울때는 폼클렌징 단독으로만은 사용안하고 꼭 2중으로 클렌징을 했었는데 말끔하게 지워진 걸 보고 가끔 너무 피곤하고 화장 지우기 귀찮을 때는 안심하고 폼클렌징만 사용해도 되겠다 생각이 들었어요!

:)거품
거품은 그냥 손으로 거품을 냈을 때는 많이 오밀조밀한 거품이 올라오진 않지만 세안하기 딱 좋은 정도의 거품이 나요!
세안 스펀지를 이용해서 거품도 내보았는데요 확실히 오밀조밀하고 쫀쫀한 거품이 생기네요 
솔직히 세안 스펀지로 쫀쫀한 거품 안만들어도 손으로 거품내서 세안해도 세안 잘되고 불편함 없습니당

:) 세안 후 느낌
딥클렌징이다 보니 당김이 없진 않아요 그런데 제가 건성이라 더 그렇게 느낄 수도 있을 것 같아요 그렇다고 입주변 쩍쩍 갈라지는 것 같은 그정도의 당김은 아니에요 다른 폼클렌징과 비교했을 때 당김이 심한편은 아니였어요 딥클렌징 치고는 촉촉한 편입니당 
저희 남편은 코와 이마만 지성인데 이 폼클렌징을 엄청 애정해요 정말 딥클렌징 되는 것 같고 제대로 씻은 느낌이라고 하네요ㅎㅎ

:) 총평
저는 클렌징 향을 좀 중요시 하는데요...이 폼클렌징은 깨끗히 세수하고 나서 스킨케어 제품 바르기 직전까지 나는 그 향이 좋아요 더 뽀송하고 상쾌하게 느껴져요 뉴트로지나 폼클렌징이 유명해서 사용해보지 않으신 분들은 잘 없겠지만 클렌징 잘 되고 폼클렌징의 역할을 톡톡히 하는 아이라 저는 앞으로도 계속 사용할 것 같아요! 만족스럽습니다!

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",옳은소비쮸,클렌저,뉴트로지나,뷰티,2021.01.18
3523,4,1019,"폼클렌징이 화장을 지울 때, 세안을 할 때
사용하는 거잖아요~ 
저는 화장을 진하게 하는 편도 아니고 솔직히 피부 관리도
잘 하는 편이 아니라 폼클렌징 아무거나 막 썼어요.
그런데 요즘은 마스크 쓰고 
요새는 미세먼지를 넘어서 초미세먼지일 때에
요즘 더 피부가 답답하고
찝찝한 기분이 많이 들어요.
피부가 많이 푸석해지고 윤기가 없어지기 시작했어요.

이 폼클렌징은 99% 딥클린 제품이라
믿고 사용해봤습니다~

우선 피부에 제일 중요한 관리가 모공관리 !!
모공도 넓은 편이고, 요즘은 눈에 보이게
모공이 보여서 너무 속상해요..

* 크기와 디자인 > 우선 용량은 220g 으로 다른 제품들보다
저렴한거에 용량이 많아요~
디자인도 노랑색이 너무 고급지게 잘 빠졌네요
폼클렌징 아침 저녁으로 사용하면 정말 빨리 써버리고
또 없으면 안되니까 용량 큰거에 추천합니다!!

* 거품 > 우선 세안하기 전 손에 소량을 짜서 만져봤는데
폭신 폭신하고 쫀쫀한 느낌이 많아요.
그리고 폼클렌징에도 수분력이 많은 거 같고
세안을 했을 때 사실 많은 거품력은 없지만 쫀쫀함이 아주 많고
소량만 사용해도 깔끔한 세안을 할 수 있습니다

* 향 > 향은 무향에 가까운것보다 아예 무향이에요~
굳이 폼클렌징에 향은 필요 없다보니 
아주 좋았어요 

* 수분력 > 저는 건성이라 씻고 난 후에 바로 당김이 있는데
이 제품은 당김이 전혀 없었어요 엄청 촉촉했어요
로션 바르지 않아도 정말 촉촉했어요!

뒤에 non comedogenic 라고 적어진 말이
논 코메도제닉 > 모공을 막지 않습니다 라는 말인데
모공관리도 해주면서 수분까지 채워주니
클렌징이 기초이면서 폼클렌징도 신경써야 겠단 생각이 들었습니다.


요즘 마스크 쓰느라
립을 바를 일이 없는데
립도 지워지나? 궁금해져서 테스트 해봤어요
이게 지워질까? 할 정도로
뭔가 이상하다 생각했는데
씻고 나니 세상에 ! 완전 깔끔하게 지워졌어요

생각 이상으로 정말 좋은 제품이네요 ~ 주변 지인분들께도 많이 추천해줬어요

 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",원더우먼92,클렌저,뉴트로지나,뷰티,2020.09.11
3524,0,1237,"■상품명: 뉴트로지나 딥클린 포밍 클렌저

■구매금액: 10.490원

■수량: 100g, 3개입

■유통기한: 2021년 9월 23일


■구매이유:

피부가 악건성에 민감성에 피부모공은 너무 커져버렸고

아주 피부가 타고다니길 몹쓸 피부에요  하..

거기에다가 소주한잔만 마셔도 홍당무타입~ 휴 너무싫음ㅜ

그런 제가 폼 클렌징은 머 왠만한 로드샾 제품은 

그동안 죄다 써봤는데 크게 만족감을 느낄수없었어요~

그러다 이제품은 티비광고에도 종종 나온거 본적도있고~

제품 이름처럼 "" 모공속까지 99% 딥클린"" 이란 문구도

확 끌렸어요~!!

크기도 아담해서 여행이나 외출시에 가방에쏙넣기도 좋고

100g, 3개구성이길래 구매하게 되었어요


■평가:

도착하자마자 일단은 테스터를 손등에 해봤어요~

오우~ 제형감 크림처럼 되직하고 일단 색도 희고맘에들었어요~

손등에 듬뿍짜서 손으로 쉐깃 쉐깃~~

그리고 물을 살짝 적당량 적셔 더 쉐깃 쉐깃~~해줬더니

거품이 아주 풍성하게 생기더라구요~

거품만 바도 화장하면 기름지고 떡지고 건조한 제피부에

노페물들을 다 날려줄것같은 기분이들었어요~!!

왠걸요 그렇게 손등 테스처를마친뒤 아무문제없길래

직접 얼굴에 해보려고 적당량짜서 손등부터 거품내고

얼굴에 골고루 쉐깃 쉐깃~~펴바르고 열의를다해 비벼대고 ~

코나 입주변은 꼼꼼히 살살 문지르며 거품을 씻어냈어요

물을 틀어 거품을 씻어내는데 오우~so Good ~!!!!

이느낌 키야!! 뽀득 뽀득~ 내얼굴에 나쁜 먼지들과

화장기들이 사라지는 이 청량하고 기분좋은 개운함~키야호!!

전 사실 폼클린징에  큰 기대가 없었어요ㅜ

한 두번 폼 클렌징 사보고 써본것도 아니였기에...

근데 이 제품 늦게 사게된게 좀 후회막급 인거있쥬~!!

진작 사볼껄 그동안 왜 헤매인것인가!!

너무 맘에 드러요!! 이 개운함 뽀득뽀득함까지~~와!최고에요!!

앞으론 뉴트로지나 딥클린 포밍클렌저로 정착하여

내얼굴 모공부터 화장잔여물 다 날려버리고

깨끗하게 잘 지우는것이 중요함을 잘알기에~

열심히 써야겠단 생각이듭니다~

제품 가격도 효과도 와우 진짜 좋네요~!!!

맘에들어서 전 175g자리도 또 구매했어요~

"" 화장은 하는것보다 지우는것이 더 중요한거니까요 ""

집에선 175g쓰고 여행갈땐 100g짜리 가방쏙넣으면 ~ok!!

앞으론 폼클렌징은 이거로 정착하렵니다~!!!

써보니 진짜 광고처럼 좋네요!! 추천합니다~♡

제 후기가 도움이 되셨다면 밑에 도움이돼요 한번 꾹 부탁드려요^^",사면안다요,클렌저,뉴트로지나,뷰티,2020.09.02
